cell_longitude,cell_latitude,Mean WWT Biomass_kg/m2,N_WWT Biomass_kg/m2
-93.91663636,28.08335827,0.0006334,14
-93.91663636,28.24995827,0.0001188,20
-93.91663636,28.41665827,0.0003884,38
-93.91663636,28.58335827,0.0017354,43
-93.91663636,28.75005827,0.0003778,20
-93.91663636,28.91665827,0.0014159,26
-93.91663636,29.08335827,0.0020782,23
-93.91663636,29.25005827,0.0045612,33
-93.91663636,29.41665827,0.0483813,8
-93.91663636,29.58335827,0.0170872,248
-93.75003636,28.08335827,0.0120256,22
-93.75003636,28.24995827,0.0090904,27
-93.75003636,28.41665827,0,23
-93.75003636,28.58335827,0.0000667,49
-93.75003636,28.75005827,0.0004125,20
-93.75003636,28.91665827,0.0036847,9
-93.75003636,29.08335827,0.0128329,15
-93.75003636,29.25005827,0.1354013,21
-93.75003636,29.41665827,0.0270662,15
-93.75003636,29.58335827,0.0147771,185
-93.58333636,28.08335827,0.0002599,17
-93.58333636,28.24995827,0,23
-93.58333636,28.41665827,0.0016652,45
-93.58333636,28.58335827,0.000045,37
-93.58333636,28.75005827,0.0012283,39
-93.58333636,28.91665827,0.0000777,7
-93.58333636,29.08335827,0.0033828,19
-93.58333636,29.25005827,0.0344284,18
-93.58333636,29.41665827,0.0058469,15
-93.58333636,29.58335827,0.0407342,69
-93.41663636,28.08335827,0.0024379,33
-93.41663636,28.24995827,0.0002488,10
-93.41663636,28.41665827,0.0001488,33
-93.41663636,28.58335827,0.0169098,35
-93.41663636,28.75005827,0.0008862,33
-93.41663636,28.91665827,0.0048585,4
-93.41663636,29.08335827,0.0005133,15
-93.41663636,29.25005827,0.0413949,17
-93.41663636,29.41665827,0.0022901,21
-93.41663636,29.58335827,0.00928,5
-93.41663636,29.75005827,0.1699566,9
-93.24993636,28.08335827,0.0021329,33
-93.24993636,28.24995827,0.0003073,23
-93.24993636,28.41665827,0.0002947,19
-93.24993636,28.58335827,0.0000089,22
-93.24993636,28.75005827,0.0003154,36
-93.24993636,28.91665827,0.001832,15
-93.24993636,29.08335827,0.0039094,18
-93.24993636,29.25005827,0.0004233,17
-93.24993636,29.41665827,0.0009113,15
-93.24993636,29.58335827,0.0562689,11
-93.24993636,29.75005827,0.0006978,13
-93.08333636,28.08335827,0.0004672,41
-93.08333636,28.24995827,0.0013983,37
-93.08333636,28.41665827,0,15
-93.08333636,28.58335827,0.0001174,39
-93.08333636,28.75005827,0.0003571,38
-93.08333636,28.91665827,0,13
-93.08333636,29.08335827,0.0006867,29
-93.08333636,29.25005827,0.0093558,25
-93.08333636,29.41665827,0.0345399,17
-93.08333636,29.58335827,0.0037322,22
-92.91663636,28.08335827,0.001773,26
-92.91663636,28.24995827,0.0008093,26
-92.91663636,28.41665827,0.001722,13
-92.91663636,28.58335827,0,32
-92.91663636,28.75005827,0.0003857,35
-92.91663636,28.91665827,0.0001376,19
-92.91663636,29.08335827,0.0013809,26
-92.91663636,29.25005827,0.0019448,15
-92.91663636,29.41665827,0.0052753,15
-92.91663636,29.58335827,0.0353149,35
-92.74993636,28.08335827,0.00117,19
-92.74993636,28.24995827,0.0047168,14
-92.74993636,28.41665827,0.0006037,20
-92.74993636,28.58335827,0.0063391,31
-92.74993636,28.75005827,0.0006457,24
-92.74993636,28.91665827,0.0012558,26
-92.74993636,29.08335827,0.0023909,36
-92.74993636,29.25005827,0.4926559,24
-92.74993636,29.41665827,0.0537623,27
-92.74993636,29.58335827,0.0143926,22
-92.58333636,28.08335827,0.0002046,23
-92.58333636,28.24995827,0.000223,43
-92.58333636,28.41665827,0.0003499,30
-92.58333636,28.58335827,0.0009855,38
-92.58333636,28.75005827,0.001266,24
-92.58333636,28.91665827,0.0181771,28
-92.58333636,29.08335827,0.0029618,18
-92.58333636,29.25005827,0.0345838,23
-92.58333636,29.41665827,0.0057632,13
-92.41663636,28.08335827,0.0002822,24
-92.41663636,28.24995827,0.0000402,27
-92.41663636,28.41665827,0,22
-92.41663636,28.58335827,0.0005969,33
-92.41663636,28.75005827,0,26
-92.41663636,28.91665827,0,23
-92.41663636,29.08335827,0.1622882,36
-92.41663636,29.25005827,0.0252203,31
-92.41663636,29.41665827,0.0056969,13
-92.24993636,28.08335827,0,17
-92.24993636,28.24995827,0,19
-92.24993636,28.41665827,0,20
-92.24993636,28.58335827,0,19
-92.24993636,28.75005827,0.0022503,35
-92.24993636,28.91665827,0.0031713,56
-92.24993636,29.08335827,0.0196799,58
-92.24993636,29.25005827,0.0008732,10
-92.24993636,29.41665827,0,1
-92.08333636,28.08335827,0.0004482,24
-92.08333636,28.24995827,0.0003303,23
-92.08333636,28.41665827,0.000015,30
-92.08333636,28.58335827,0.0004821,20
-92.08333636,28.75005827,0.0001653,34
-92.08333636,28.91665827,0.0002634,30
-92.08333636,29.08335827,0.0244516,47
-92.08333636,29.25005827,0.0034191,7
-92.08333636,29.41665827,0,1
-91.91663636,28.08335827,0.000014,17
-91.91663636,28.24995827,0.0016481,29
-91.91663636,28.41665827,0.0023238,29
-91.91663636,28.58335827,0.0002728,23
-91.91663636,28.75005827,0.0120582,29
-91.91663636,28.91665827,0.0000244,20
-91.91663636,29.08335827,0.061785,31
-91.91663636,29.25005827,0,5
-91.91663636,29.41665827,0.0002488,5
-91.74993636,28.08335827,0,13
-91.74993636,28.24995827,0.0000022,25
-91.74993636,28.41665827,0.0073062,19
-91.74993636,28.58335827,0.0025997,43
-91.74993636,28.75005827,0.0003608,48
-91.74993636,28.91665827,0.0019243,36
-91.74993636,29.08335827,0.003489,26
-91.74993636,29.25005827,0,1
-91.58323636,28.08335827,0.0000195,10
-91.58323636,28.24995827,0.0007063,33
-91.58323636,28.41665827,0.0005804,43
-91.58323636,28.58335827,0.0000646,32
-91.58323636,28.75005827,0.0001571,18
-91.58323636,28.91665827,0.0643492,35
-91.58323636,29.08335827,0.000675,12
-91.58323636,29.25005827,0.003157,1
-91.41663636,28.08335827,0,3
-91.41663636,28.24995827,0.0000231,24
-91.41663636,28.41665827,0.0010994,16
-91.41663636,28.58335827,0.0391079,72
-91.41663636,28.75005827,0.0007914,66
-91.41663636,28.91665827,0.1904239,37
-91.41663636,29.08335827,0.0007465,4
-91.41663636,29.25005827,0.0016435,4
-91.24993636,28.08335827,0.00087,4
-91.24993636,28.24995827,0.0003454,30
-91.24993636,28.41665827,0.003118,24
-91.24993636,28.58335827,0.0067891,95
-91.24993636,28.75005827,0.0026343,86
-91.24993636,28.91665827,0.0175927,18
-91.08323636,28.08335827,0.0058765,4
-91.08323636,28.24995827,0.0006585,34
-91.08323636,28.41665827,0.0014539,35
-91.08323636,28.58335827,0.0056789,115
-91.08323636,28.75005827,0.0010102,75
-91.08323636,28.91665827,0.0024415,4
-91.08323636,29.08335827,0,4
-90.91663636,28.08335827,0,1
-90.91663636,28.24995827,0.0016879,26
-90.91663636,28.41665827,0.0013239,37
-90.91663636,28.58335827,0.0075728,121
-90.91663636,28.75005827,0.0037413,23
-90.91663636,28.91665827,0.0641006,28
-90.74993636,28.24995827,0.0003216,32
-90.74993636,28.41665827,0.0000595,46
-90.74993636,28.58335827,0.0030032,121
-90.74993636,28.75005827,0.0000333,9
-90.74993636,28.91665827,0.0236514,67
-90.58323636,28.24995827,0.0000028,27
-90.58323636,28.41665827,0.0274386,24
-90.58323636,28.58335827,0.0020928,122
-90.58323636,28.75005827,0.0000661,12
-90.58323636,28.91665827,0.0056995,44
-90.41663636,28.24995827,0.0048667,29
-90.41663636,28.41665827,0.0009729,32
-90.41663636,28.58335827,0.0019492,109
-90.41663636,28.75005827,0.0226211,15
-90.41663636,28.91665827,0.0027205,74
-90.24993636,28.24995827,0.0080701,18
-90.24993636,28.41665827,0.0209417,18
-90.24993636,28.58335827,0.0005344,43
-90.24993636,28.75005827,0.0011928,66
-90.24993636,28.91665827,0.0310382,98
-90.08323636,28.24995827,0,3
-90.08323636,28.41665827,0,7
-90.08323636,28.58335827,0.00694,5
-90.08323636,28.75005827,0.0008419,60
-90.08323636,28.91665827,0.0046246,86
-90.08323636,29.08335827,0.0484304,93
-89.91653636,28.75005827,0.0002346,24
-89.91653636,28.91665827,0.0006021,72
-89.91653636,29.08335827,0.0079967,120
-89.91653636,29.25005827,0.0053481,56
-89.74993636,28.58335827,0.0017363,3
-89.74993636,28.75005827,0.0000111,22
-89.74993636,28.91665827,0.0019894,32
-89.74993636,29.08335827,0.0020796,190
-89.74993636,29.25005827,0.0173475,57
-89.58323636,28.58335827,0,1
-89.58323636,28.75005827,0.0002532,22
-89.58323636,28.91665827,0.001469,111
-89.58323636,29.08335827,0.0082888,201
-89.41653636,28.75005827,0,1
-89.41653636,28.91665827,0.0008246,7
-89.41653636,29.08335827,0.0019438,4
-89.24993636,28.91665827,0,4
-89.08323636,28.91665827,0,4
-89.08323636,29.25005827,0,1
-89.08323636,29.41665827,0.0264044,9
-88.91653636,29.08335827,0.00024,86
-88.91653636,29.25005827,0.0012503,99
-88.91653636,29.41665827,0.0090128,93
-88.91653636,29.58335827,0.1133518,27
-88.74993636,29.08335827,0.0014782,29
-88.74993636,29.25005827,0.0015268,47
-88.74993636,29.41665827,0.007335,207
-88.74993636,29.58335827,0.0050403,39
-88.74993636,29.75005827,0.0172099,59
-88.74993636,29.91665827,0.0671578,92
-88.74993636,30.08335827,0.0992423,78
-88.58323636,29.08335827,0.0002496,15
-88.58323636,29.25005827,0.000231,70
-88.58323636,29.41665827,0.0053148,64
-88.58323636,29.58335827,0.0048801,151
-88.58323636,29.75005827,0.0012155,99
-88.58323636,29.91665827,0.0161523,75
-88.58323636,30.08335827,0.0278517,55
-88.41653636,29.25005827,0.0004336,63
-88.41653636,29.41665827,0.0003783,39
-88.41653636,29.58335827,0.0038063,44
-88.41653636,29.75005827,0.0015943,50
-88.41653636,29.91665827,0.0001044,72
-88.41653636,30.08335827,0.0024613,129
-88.24983636,29.25005827,0.0293538,24
-88.24983636,29.41665827,0.0042733,49
-88.24983636,29.58335827,0.0152811,40
-88.24983636,29.75005827,0,42
-88.24983636,29.91665827,0.0009292,88
-88.24983636,30.08335827,0.006357,137
-88.08323636,29.25005827,0,4
-88.08323636,29.41665827,0.0015728,88
-88.08323636,29.58335827,0.0020653,27
-88.08323636,29.75005827,0.0000553,31
-88.08323636,29.91665827,0.0022522,50
-88.08323636,30.08335827,0.0409474,213
